title,rating,year,movie_url,backdrop
Inglourious Basterds,★★★★½,2009,https://letterboxd.com/films/inglourious-basterds,https://image.tmdb.org/t/p/w500/1Jpkm9qZcsT0mSyVXgs4VlGjPNI.jpg
The Banshees of Inisherin,★★★★½,2022,https://letterboxd.com/films/the-banshees-of-inisherin,https://image.tmdb.org/t/p/w500/coBi63TRBW8OiMryjCQ0NV93Fjs.jpg
"Three Billboards Outside Ebbing, Missouri",★★★½,2017,https://letterboxd.com/films/three-billboards-outside-ebbing-missouri,https://image.tmdb.org/t/p/w500/oQHF0Y4gCw6VdPmapjsbZoxY2ht.jpg
Panic Room,★★★★½,2002,https://letterboxd.com/films/panic-room,https://image.tmdb.org/t/p/w500/9G5bteYI8FXaY9EomnUP0kdHm66.jpg
Se7en,★★★★★,1995,https://letterboxd.com/films/se7en,https://image.tmdb.org/t/p/w500/iwgl8zlrrfvfWp9k9Paj8lvFEvS.jpg
The Social Network,★★★★★,2010,https://letterboxd.com/films/the-social-network,https://image.tmdb.org/t/p/w500/cq9N64ucEtfIc3eMxNr1VzY9LH9.jpg
The Girl with the Dragon Tattoo,★★★★½,2011,https://letterboxd.com/films/the-girl-with-the-dragon-tattoo-2011,https://image.tmdb.org/t/p/w500/dNFbrnF0mIBm0rClbfEFWTtsgMP.jpg
Gone Girl,★★★★,2014,https://letterboxd.com/films/gone-girl,https://image.tmdb.org/t/p/w500/h2JaQWLKhapm7AuSViJwGiv8ngC.jpg
Lady Bird,★★★★★,2017,https://letterboxd.com/films/lady-bird,https://image.tmdb.org/t/p/w500/pcWxKfFNCznTKYy0E8M9nG1cwL4.jpg
Barbie,★★★★½,2023,https://letterboxd.com/films/barbie,https://image.tmdb.org/t/p/w500/3N5QNUqS76GFYNoEayfkkJyAyTN.jpg
Oppenheimer,★★★★★,2023,https://letterboxd.com/films/oppenheimer-2023,https://image.tmdb.org/t/p/w500/nb3xI8XI3w4pMVZ38VijbsyBqP4.jpg
The Departed,★★★★★,2006,https://letterboxd.com/films/the-departed,https://image.tmdb.org/t/p/w500/6WRrGYalXXveItfpnipYdayFkQB.jpg
Mission: Impossible – Dead Reckoning Part One,★★½,2023,https://letterboxd.com/films/mission-impossible-dead-reckoning-part-one,https://image.tmdb.org/t/p/w500/628Dep6AxEtDxjZoGP78TsOxYbK.jpg
Indiana Jones and the Dial of Destiny,★★★,2023,https://letterboxd.com/films/indiana-jones-and-the-dial-of-destiny,https://image.tmdb.org/t/p/w500/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg
Spider-Man: Across the Spider-Verse,★★★★★,2023,https://letterboxd.com/films/spider-man-across-the-spider-verse,https://image.tmdb.org/t/p/w500/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg
Guardians of the Galaxy Vol. 3,★★★½,2023,https://letterboxd.com/films/guardians-of-the-galaxy-vol-3,https://image.tmdb.org/t/p/w500/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg
Spotlight,★★★½,2015,https://letterboxd.com/films/spotlight,https://image.tmdb.org/t/p/w500/8FbbcmwmpGd7brfiC7f7lWFNGdi.jpg
Birdman or (The Unexpected Virtue of Ignorance),★★★★½,2014,https://letterboxd.com/films/birdman-or-the-unexpected-virtue-of-ignorance,https://image.tmdb.org/t/p/w500/s0OrExdg7i3RLR7oqzHRk4q2kL4.jpg
Aftersun,★★★★★,2022,https://letterboxd.com/films/aftersun,https://image.tmdb.org/t/p/w500/d5l2ITQvpgP0dcWCAG6PUvp8YZw.jpg
The Fabelmans,★★★★★,2022,https://letterboxd.com/films/the-fabelmans,https://image.tmdb.org/t/p/w500/xQyGkQ8ICa4lgifGr3oZjkm3AJ2.jpg
TÁR,★★★★★,2022,https://letterboxd.com/films/tar-2022,https://image.tmdb.org/t/p/w500/fwhN9a0oRZvzc2tDuu5BZ59MOPz.jpg
The Menu,★★★★½,2022,https://letterboxd.com/films/the-menu-2022,https://image.tmdb.org/t/p/w500/mSyQoValhBsJdq3JNGXJww2Q5yL.jpg
Avatar: The Way of Water,★★★½,2022,https://letterboxd.com/films/avatar-the-way-of-water,https://image.tmdb.org/t/p/w500/8rpDcsfLJypbO6vREc0547VKqEv.jpg
El Camino: A Breaking Bad Movie,★★★★,2019,https://letterboxd.com/films/el-camino-a-breaking-bad-movie,https://image.tmdb.org/t/p/w500/yzpZVgaTZzDrAP1yVeCbKZH9jmA.jpg
Glass Onion,★★★★,2022,https://letterboxd.com/films/glass-onion,https://image.tmdb.org/t/p/w500/dKqa850uvbNSCaQCV4Im1XlzEtQ.jpg
Nope,★★★★½,2022,https://letterboxd.com/films/nope,https://image.tmdb.org/t/p/w500/5N8LOeRzt7LcZIhPbNVaCsVOPdT.jpg
Top Gun: Maverick,★★★★½,2022,https://letterboxd.com/films/top-gun-maverick,https://image.tmdb.org/t/p/w500/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg
The Batman,★★★★,2022,https://letterboxd.com/films/the-batman,https://image.tmdb.org/t/p/w500/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg
